protein,drug,drug_concentration
protein1,drug1,100
protein1,drug1,30
protein1,drug1,10
protein1,drug2,100
protein1,drug2,30
protein1,drug2,10
protein1,drug3,100
protein1,drug3,30
protein1,drug3,10
protein1,,
protein2,drug1,100
protein2,drug1,30
protein2,drug1,10
protein2,drug2,100
protein2,drug2,30
protein2,drug2,10
protein2,drug3,100
protein2,drug3,30
protein2,drug3,10
protein2,,
protein3,drug1,100
protein3,drug1,30
protein3,drug1,10
protein3,drug2,100
protein3,drug2,30
protein3,drug2,10
protein3,drug3,100
protein3,drug3,30
protein3,drug3,10
protein3,,
